"";"Species";"Body_size_mm";"Fos";"Ter";"Aqu";"Arb";"Dir";"Lar";"Viv"
"1";"Abavorana_luctuosa";68;0;1;1;0;0;1;0
"2";"Acris_crepitans";38;0;1;1;1;0;1;0
"3";"Acris_gryllus";32;0;1;1;1;0;1;0
"4";"Adelotus_brevis";45;1;1;1;0;0;1;0
"5";"Adenomera_bokermanni";24;0;1;0;0;0;1;0
"6";"Adenomera_hylaedactyla";30;0;1;1;0;0;1;0
"7";"Adenomera_marmorata";25;0;1;0;0;0;1;0
"8";"Adenomus_kandianus";32,2;0;0;1;0;0;1;0
"9";"Adenomus_kelaartii";50;0;1;1;1;0;1;0
"10";"Afrixalus_delicatus";27;0;0;1;1;0;1;0
"11";"Afrixalus_dorsalis";38;0;0;1;1;0;1;0
"12";"Afrixalus_fornasini";40;0;1;1;1;0;1;0
"13";"Afrixalus_laevis";25;0;0;1;1;0;1;0
"14";"Afrixalus_nigeriensis";35;0;0;1;1;0;1;0
"15";"Afrixalus_paradorsalis";35;0;0;1;1;0;1;0
"16";"Afrixalus_stuhlmanni";27;0;1;1;1;0;1;0
"17";"Afrixalus_vittiger";28;0;1;1;1;0;1;0
"18";"Afrixalus_weidholzi";25;0;1;1;1;0;1;0
"19";"Agalychnis_aspera";40,1;0;1;1;0;0;1;0
"20";"Agalychnis_callidryas";77,2;0;1;1;1;0;1;0
"21";"Agalychnis_spurrelli";93;0;1;0;1;0;1;0
"22";"Aglyptodactylus_laticeps";59;0;1;1;1;0;1;0
"23";"Aglyptodactylus_madagascariensis";92;0;1;1;1;0;1;0
"24";"Aglyptodactylus_securifer";42,9;0;1;1;1;0;1;0
"25";"Alcalus_baluensis";28,7;0;1;1;0;1;0;0
"26";"Alcalus_mariae";33,1;0;1;1;1;1;0;0
"27";"Alcalus_sariba";36;NA;NA;NA;NA;NA;NA;NA
"28";"Allobates_chalcopis";18,4;0;1;0;0;0;1;0
"29";"Allobates_femoralis";36;0;1;1;0;0;1;0
"30";"Allobates_olfersioides";19;0;1;0;0;0;1;0
"31";"Allobates_talamancae";25;0;1;1;0;0;1;0
"32";"Alsodes_australis";56,1;0;1;1;0;0;1;0
"33";"Alsodes_coppingeri";44;0;1;1;0;0;1;0
"34";"Alsodes_kaweshkari";62,2;0;1;1;0;0;1;0
"35";"Alytes_muletensis";40;0;1;0;1;0;1;0
"36";"Amietia_poyntoni";56,1;0;1;1;0;0;1;0
"37";"Amnirana_albolabris";82,7;0;1;1;0;0;1;0
"38";"Amnirana_galamensis";86;0;1;1;0;0;1;0
"39";"Amnirana_occidentalis";95,2;0;1;0;0;0;1;0
"40";"Amolops_hainanensis";80,4;0;1;1;1;0;1;0
"41";"Amolops_hongkongensis";40;0;1;1;1;0;1;0
"42";"Amolops_torrentis";37,4;0;1;1;1;0;1;0
"43";"Anaxyrus_boreas";125;0;1;0;0;0;1;0
"44";"Anaxyrus_fowleri";95;0;1;0;0;0;1;0
"45";"Anaxyrus_kelloggi";48,8;0;1;0;0;0;1;0
"46";"Anaxyrus_punctatus";76;1;1;0;0;0;1;0
"47";"Anaxyrus_quercicus";33;1;1;0;0;0;1;0
"48";"Anaxyrus_terrestris";116,3;1;1;0;0;0;1;0
"49";"Anaxyrus_woodhousii";127;1;1;0;0;0;1;0
"50";"Andinobates_claudiae";13,4;0;1;0;0;0;1;0
"51";"Anilany_helenae";13,8;0;1;1;0;0;1;0
"52";"Anodonthyla_emilei";29,1;0;0;0;1;0;1;0
"53";"Anodonthyla_hutchisoni";24,4;0;1;0;1;0;1;0
"54";"Anodonthyla_jeanbai";20;0;0;0;1;NA;NA;NA
"55";"Anodonthyla_montana";33;0;1;1;0;0;1;0
"56";"Anodonthyla_moramora";16,5;0;0;0;0;0;1;0
"57";"Anodonthyla_nigrigularis";21,7;0;1;0;1;0;1;0
"58";"Anodonthyla_pollicaris";21,2;0;0;0;1;NA;NA;NA
