Species,Fos,Ter,Aqu,Arb,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diu,Noc,Crepu,Wet_warm,Wet_cold,Dry_warm,Dry_cold,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS
Allophryne_ruthveni,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,31,NA,NA,31,NA,NA,NA,300,300,1,NA,NA,0,1,0,NA
Alytes_muletensis,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2.31,3,3,40,NA,NA,NA,7,20,1,5.4,7,0,1,0,NA
Discoglossus_montalentii,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,1000,1000,1,1.5,1.5,0,1,0,NA
Discoglossus_pictus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,22.05,4,4,80,NA,NA,NA,20,1500,1,1,1.5,0,1,0,NA
Discoglossus_sardus,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,70,NA,NA,NA,1000,1000,1,1,1.5,0,1,0,NA
Allobates_brunneus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,17,17,1,NA,NA,0,1,0,NA
Allobates_chalcopis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Allobates_femoralis,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,4.1,0.8,0.8,36,NA,NA,6,8,48,12,1.5,2.1,0,1,0,NA
Allobates_marchesianus,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,13,27,1,1.5,2,0,1,0,NA
Allobates_olfersioides,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,11,11,3,1.5,1.5,0,1,0,NA
Allobates_talamancae,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,25,NA,NA,NA,18,50,1,NA,NA,0,1,0,NA
Anomaloglossus_baeobatrachus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Mannophryne_olmonae,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,28,NA,NA,12,NA,NA,NA,12,12,1,NA,NA,0,1,0,NA
Mannophryne_trinitatis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,29,NA,NA,NA,10,11,1,NA,NA,0,1,0,NA
Arthroleptis_adelphus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_bioko,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_poecilonotus,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.69,0.3,0.4,33.4,20,20,0.3,10,30,2,2.9,2.9,1,0,0,NA
Arthroleptis_stenodactylus,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,30,80,1,2,2,1,0,0,NA
Arthroleptis_sylvaticus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_taeniatus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_tuberosus,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA
Arthroleptis_variabilis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,NA
Arthroleptis_xenodactyloides,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,23.8,NA,NA,0.5,13,30,1,4,4,1,0,0,NA
Astylosternus_batesi,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Astylosternus_diadematus,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
