;id;FRic
31;31;0.255514431
33;33;0.255514431
35;35;0.255514431
40;40;0.262743149
41;41;0.262743149
201;201;0.019087419
272;272;0.02709921
1258;1258;0.019011762
1261;1261;0.019011762
1271;1271;0.010060853
1405;1405;0.021511024
1409;1409;0.021511024
1831;1831;0.02709921
1839;1839;0.025641605
1842;1842;0.024554985
2281;2281;0.007424767
2360;2360;0.02718716
2846;2846;0.262323667
2847;2847;0.234118606
2849;2849;0.117956982
2850;2850;0.031391151
2851;2851;0.253368983
2852;2852;0.246118526
2853;2853;0.010487479
2854;2854;0
2855;2855;0.132467515
2857;2857;0.009489757
2858;2858;0.280584464
2859;2859;0.243749683
2862;2862;0.204297162
2863;2863;0.255056477
2864;2864;0.154590138
2865;2865;0
2868;2868;0.165228859
2869;2869;0.254462015
2871;2871;0.001461746
2872;2872;0.182642706
2873;2873;0.000125688
2874;2874;0.120475605
2876;2876;0.009489757
2877;2877;0.002001467
2881;2881;0.154975591
2882;2882;0.134152424
2883;2883;0.132715271
2884;2884;0.118967236
2885;2885;0.133353581
2886;2886;0.008446497
2887;2887;0.006912672
2890;2890;0
2891;2891;0.202653325
2893;2893;0.015669833
2896;2896;0.134263662
2898;2898;0.063844037
2899;2899;0
2902;2902;0.22930976
2904;2904;0
2905;2905;0.15191569
2907;2907;0.063848081
2908;2908;0.05549218
2909;2909;0.000584661
2910;2910;0
2911;2911;0.115264698
2912;2912;0.20376287
2914;2914;0.017411357
2916;2916;0
2918;2918;0.050436029
2919;2919;7.61E-05
2920;2920;0.007899827
2922;2922;0.130653634
2924;2924;0.163285684
2931;2931;0.179724632
2933;2933;0.009162784
2934;2934;0.117665456
2936;2936;0.014998824
2937;2937;0.19758149
2939;2939;0.017992578
2940;2940;0.018713848
2941;2941;0
2942;2942;0
2947;2947;0.017888259
2950;2950;0.113511552
2951;2951;0.016708401
2952;2952;0.182073443
2954;2954;0
2955;2955;0
2956;2956;0.2290978
2957;2957;0.019453867
2959;2959;0
2961;2961;0
2963;2963;0.017767318
2964;2964;0
2965;2965;0
2967;2967;0
2968;2968;0.175474857
2969;2969;0
2970;2970;0
2971;2971;0.017411357
2972;2972;0.229246154
2974;2974;0
2975;2975;0.016372671
2977;2977;0
2981;2981;0
2982;2982;0.059682772
2989;2989;0.113317912
2991;2991;0.223658203
2992;2992;0
2994;2994;0.214865643
2998;2998;0.004131374
2999;2999;0
3001;3001;0
3003;3003;0.163285684
3004;3004;0.063021766
3007;3007;0
3008;3008;0.174799813
3009;3009;0.187149429
3010;3010;0.246715951
3012;3012;0.106811287
3014;3014;0.010234085
3015;3015;0.007172044
3020;3020;0
3022;3022;0.001218725
3024;3024;0.23762325
3027;3027;0
3029;3029;0
3030;3030;3.98E-05
3032;3032;0.059683593
3034;3034;0
3040;3040;0.124183621
3043;3043;0.012978183
3047;3047;0.000520542
3048;3048;0.198108283
3049;3049;0.021736093
3052;3052;0
3054;3054;0.190531252
3058;3058;0
3062;3062;0
3064;3064;0.01079557
3065;3065;0.001471938
3068;3068;0
3070;3070;0.121465068
3072;3072;0.016379107
3073;3073;0
3074;3074;0
3077;3077;0.022097237
3079;3079;0
3080;3080;0.008115272
3081;3081;0
3082;3082;0
3084;3084;0
3089;3089;0.010720954
3090;3090;0
3091;3091;0
3095;3095;0.001125542
3100;3100;0.175212264
3101;3101;0.001573069
3102;3102;0.000281102
3106;3106;0.017411357
3117;3117;0.016364528
3120;3120;0.007567093
3123;3123;0.202633733
3127;3127;0.01510924
3128;3128;0
3130;3130;0
3131;3131;0
3132;3132;0.010251984
3133;3133;0.016372671
3134;3134;0
3135;3135;0.012747765
3136;3136;0.195013469
3137;3137;0.007546571
3138;3138;0.003574046
3140;3140;0
3142;3142;0
3143;3143;0
3144;3144;0.058973876
3148;3148;0.070332704
3150;3150;0.008597625
3152;3152;0.180770422
3154;3154;0.000808365
3156;3156;0
3161;3161;0.115155138
3165;3165;0.001573069
3166;3166;0
3167;3167;0.012811295
3168;3168;0.00101076
3169;3169;0
3170;3170;0
3173;3173;0.163285684
3174;3174;0.26509071
3175;3175;0.165434457
3180;3180;0
3182;3182;0
3187;3187;0
3188;3188;0
3195;3195;0.255943489
3196;3196;0.113511552
3199;3199;0.008868349
3201;3201;0
3202;3202;2.64E-07
3204;3204;0.007763496
3207;3207;0.016379107
3208;3208;0.000521265
3211;3211;0.013281796
3214;3214;0
3216;3216;0
3217;3217;0.020912144
3218;3218;0
3219;3219;0
3220;3220;0
3221;3221;0.000799151
3224;3224;0
3225;3225;0
3229;3229;0.000481796
3230;3230;0
3231;3231;0
3232;3232;0.02661138
3236;3236;0.007304785
3237;3237;0.309662235
3238;3238;0.001455465
3240;3240;0
3243;3243;0.026824265
3246;3246;0.000368121
3248;3248;7.61E-05
